議題,關鍵字,關聯詞彙,關聯程度
多元文化擴散,文化,崑山,0.889
多元文化擴散,文化,代工,0.8868
網路犯罪,網路,犯罪,0.9315
網路犯罪,網路,駭客,0.9171
網路犯罪,網路,詐騙,0.7939
網路犯罪,網路,創意,0.7681
網路犯罪,網路,文化,0.7422
網路犯罪,網路,操盤,0.7351
網路犯罪,網路,商業,0.7288
網路犯罪,網路,軟體,0.7273
網路犯罪,網路,心法,0.7166
網路犯罪,網路,入侵,0.7151
網路犯罪,網路,文創,0.7128
網路犯罪,網路,代工,0.7111
網路犯罪,網路,FBI,0.7032
網路犯罪,網路,專利,0.703
網路犯罪,網路,麗嬰房,0.6978
網路犯罪,網路,攻擊,0.696
網路犯罪,網路,北京,0.6958
網路犯罪,網路,手機,0.6872
網路犯罪,網路,自創,0.6847
網路犯罪,網路,時尚,0.6808
網路犯罪,網路,營收,0.6796
網路犯罪,犯罪,駭客,0.9536
網路犯罪,犯罪,網路,0.9315
網路犯罪,犯罪,詐騙,0.8589
網路犯罪,犯罪,操盤,0.8509
網路犯罪,犯罪,商業,0.8245
網路犯罪,犯罪,FBI,0.8192
網路犯罪,犯罪,入侵,0.817
網路犯罪,犯罪,攻擊,0.813
網路犯罪,犯罪,新視野,0.8107
網路犯罪,犯罪,北京,0.8107
網路犯罪,犯罪,軟體,0.8078
網路犯罪,犯罪,心法,0.807
網路犯罪,犯罪,內需,0.8066
網路犯罪,犯罪,代工,0.8033
網路犯罪,犯罪,專利,0.8026
網路犯罪,犯罪,成熟,0.8014
網路犯罪,犯罪,總裁,0.7943
網路犯罪,犯罪,革命,0.7904
網路犯罪,犯罪,麗嬰房,0.7889
網路犯罪,犯罪,手機,0.7879
網路犯罪,犯罪,行銷,0.7873
