議題,關鍵字,關聯詞彙,關聯程度
能源與資源枯竭,能源,水資源,0.7569
能源與資源枯竭,能源,概念,0.7538
能源與資源枯竭,能源,太陽能,0.7446
能源與資源枯竭,能源,議題,0.737
能源與資源枯竭,能源,再生能源,0.7339
能源與資源枯竭,能源,環保,0.7299
能源與資源枯竭,能源,績效,0.7295
能源與資源枯竭,能源,新能源,0.7268
能源與資源枯竭,能源,發電,0.7211
能源與資源枯竭,能源,類股,0.7181
能源與資源枯竭,能源,題材,0.7156
能源與資源枯竭,能源,抗跌,0.7147
能源與資源枯竭,能源,策略,0.7145
能源與資源枯竭,能源,趨勢,0.7134
能源與資源枯竭,能源,積極,0.7123
能源與資源枯竭,枯竭,方舟,0.9897
能源與資源枯竭,枯竭,香江,0.9881
能源與資源枯竭,枯竭,紅利,0.9868
能源與資源枯竭,枯竭,富國,0.9859
能源與資源枯竭,枯竭,思惟,0.9859
能源與資源枯竭,枯竭,豬糞,0.9858
能源與資源枯竭,枯竭,供給,0.985
能源與資源枯竭,枯竭,金援,0.9848
能源與資源枯竭,枯竭,瑞典,0.9848
能源與資源枯竭,枯竭,放款,0.9843
能源與資源枯竭,枯竭,工總,0.9841
能源與資源枯竭,枯竭,周錫瑋,0.984
能源與資源枯竭,枯竭,輪替,0.9839
能源與資源枯竭,枯竭,力抗,0.9839
能源與資源枯竭,枯竭,急速,0.9839
能源與資源枯竭,資源,資產,0.9423
能源與資源枯竭,資源,配置,0.9398
能源與資源枯竭,資源,多元,0.9335
能源與資源枯竭,資源,水資源,0.9246
能源與資源枯竭,資源,類股,0.9219
能源與資源枯竭,資源,績效,0.9189
能源與資源枯竭,資源,經理人,0.9161
能源與資源枯竭,資源,主題,0.9159
能源與資源枯竭,資源,天然資源,0.9109
能源與資源枯竭,資源,鎖定,0.9091
能源與資源枯竭,資源,操盤,0.9072
能源與資源枯竭,資源,長線,0.9067
能源與資源枯竭,資源,布局,0.9042
能源與資源枯竭,資源,抗跌,0.9041
能源與資源枯竭,資源,組合,0.9032
能源與資源枯竭,資源,環球,0.9016
能源與資源枯竭,資源,物料,0.9013
能源與資源枯竭,資源,趨勢,0.9002
能源與資源枯竭,資源,理財,0.8999
能源與資源枯竭,資源,金磚,0.8969
能源與資源枯竭,資源,德盛,0.8931
能源與資源枯竭,資源,加碼,0.893
能源與資源枯竭,資源,表現,0.8899
能源與資源枯竭,資源,安聯,0.8898
能源與資源枯竭,資源,農金,0.8891
能源與資源枯竭,資源,總經理,0.8881
能源與資源枯竭,危機,歐債,0.8624
能源與資源枯竭,危機,海嘯,0.8543
能源與資源枯竭,危機,希臘,0.836
能源與資源枯竭,危機,金融風暴,0.825
能源與資源枯竭,危機,糧食,0.8186
能源與資源枯竭,危機,缺水,0.8159
能源與資源枯竭,危機,威脅,0.8133
能源與資源枯竭,危機,末日,0.8123
能源與資源枯竭,危機,財經,0.8075
能源與資源枯竭,危機,金融,0.8017
能源與資源枯竭,危機,話題,0.7945
能源與資源枯竭,危機,金融危機,0.7935
能源與資源枯竭,危機,歐美,0.7909
能源與資源枯竭,危機,極端,0.7864
能源與資源枯竭,危機,漫遊,0.7855
能源與資源枯竭,危機,歐元,0.7839
能源與資源枯竭,危機,債務,0.7818
能源與資源枯竭,危機,歐元區,0.7801
能源與資源枯竭,危機,CEO,0.778
能源與資源枯竭,危機,示警,0.7768
能源與資源枯竭,危機,對策,0.7741
能源與資源枯竭,危機,華爾街,0.7706
能源與資源枯竭,危機,結束,0.7706
能源與資源枯竭,危機,央行,0.768
能源與資源枯竭,缺乏,塑毒,0.9811
能源與資源枯竭,缺乏,曙光,0.9789
能源與資源枯竭,缺乏,魄力,0.9769
能源與資源枯竭,缺乏,壓垮,0.9749
能源與資源枯竭,缺乏,談話,0.9749
能源與資源枯竭,缺乏,複合式,0.9726
能源與資源枯竭,缺乏,無能,0.9713
能源與資源枯竭,缺乏,房貸,0.9713
能源與資源枯竭,缺乏,核四,0.9707
能源與資源枯竭,缺乏,所得,0.9706
能源與資源枯竭,缺乏,憲政,0.9703
能源與資源枯竭,缺乏,當務之急,0.9703
能源與資源枯竭,缺乏,變革,0.97
能源與資源枯竭,缺乏,首重,0.9699
能源與資源枯竭,缺乏,財務,0.9695
能源與資源枯竭,缺乏,極高,0.9691
能源與資源枯竭,缺乏,反思,0.9688
能源與資源枯竭,缺乏,道德,0.9687
能源與資源枯竭,缺乏,空談,0.9686
能源與資源枯竭,缺乏,無解,0.9685
能源與資源枯竭,缺乏,落實,0.873
能源與資源枯竭,缺乏,致力,0.8522
能源與資源枯竭,缺乏,國家,0.852
能源與資源枯竭,缺乏,CSR,0.8489
能源與資源枯竭,缺乏,基金會,0.8449
能源與資源枯竭,缺乏,自然,0.836
能源與資源枯竭,缺乏,促進,0.8345
能源與資源枯竭,缺乏,人才,0.8322
能源與資源枯竭,缺乏,效率,0.8318
能源與資源枯竭,缺乏,重視,0.8317
能源與資源枯竭,缺乏,積極,0.8311
能源與資源枯竭,缺乏,工研院,0.8289
能源與資源枯竭,缺乏,供應鏈,0.825
能源與資源枯竭,缺乏,科學,0.8235
能源與資源枯竭,缺乏,中小企業,0.8216
能源與資源枯竭,缺乏,工作,0.8207
能源與資源枯竭,缺乏,行銷,0.8186
能源與資源枯竭,缺乏,建材,0.8114
能源與資源枯竭,缺乏,善用,0.8109
能源與資源枯竭,缺乏,IT,0.8107
能源與資源枯竭,缺乏,環境保護,0.8091
食品安全,食品,食品安全,0.7624
食品安全,食品,消費者,0.7518
食品安全,食品,塑化劑,0.744
食品安全,食品,食安,0.7432
食品安全,食品,標示,0.7183
食品安全,食品,產品,0.7181
食品安全,食品,業者,0.7179
食品安全,食品,安心,0.7161
食品安全,食品,黑心,0.6896
食品安全,食品,檢驗,0.6739
食品安全,食品,天然,0.6681
食品安全,食品,超標,0.6644
食品安全,食品,進口,0.6606
食品安全,食品,把關,0.6501
食品安全,食品,有機,0.6479
食品安全,食品,生鮮,0.6427
食品安全,食品,合格,0.6404
食品安全,食品,餐廳,0.6402
食品安全,食品,蔬果,0.639
食品安全,食品,稽查,0.6344
食品安全,食品,餐飲,0.6333
食品安全,食品,澱粉,0.6279
食品安全,食品,FSI,0.6263
食品安全,食品,農產,0.6261
食品安全,食品,重刑,0.626
食品安全,食品,奶粉,0.6255
食品安全,食品,認證,0.6249
食品安全,食品,產銷,0.6223
食品安全,食品,履歷,0.6208
食品安全,安全,安心,0.9053
食品安全,安全,健康,0.8912
食品安全,安全,食材,0.8771
食品安全,安全,把關,0.8606
食品安全,安全,保障,0.8484
食品安全,安全,有機,0.8453
食品安全,安全,檢測,0.8413
食品安全,安全,營養,0.8369
食品安全,安全,優惠,0.8353
食品安全,安全,消費者,0.8327
食品安全,安全,天然,0.8259
食品安全,安全,生鮮,0.8227
食品安全,安全,塑化劑,0.822
食品安全,安全,出包,0.8175
食品安全,安全,登錄,0.8162
食品安全,安全,堅持,0.8155
食品安全,安全,無毒,0.8123
食品安全,安全,品質,0.8102
食品安全,安全,聯盟,0.8052
食品安全,安全,飲食,0.7989
食品安全,安全,百齡,0.7978
食品安全,安全,家樂福,0.7972
食品安全,安全,實驗室,0.7967
食品安全,安全,台糖,0.7895
食品安全,安全,改善,0.7888
食品安全,安全,守護,0.7881
食品安全,安全,飼料,0.7853
食品安全,安全,產銷,0.7841
